Hari,Jam,Mata Kuliah,Kelas,SKS,Semester,Dosen,Ruangan
Senin,07.00-08.50,Metode Formal,RPL (M),3,5,DO,IF-101
Senin,07.00-08.50,Aljabar Linier,B,3,1,BA,IF-102
Senin,07.00-08.50,Grafika Komputer,A,3,5,DH,IF-103
Senin,07.00-08.50,Aljabar Linier,A,3,1,IG,IF-104
Senin,09.00-10.50,Konsep Kecerdasan Artifisial,A,3,3,NS,IF-102
Senin,09.00-10.50,Konsep Kecerdasan Artifisial,C,3,3,AL,IF-103
Senin,11.00-12.50,Kalkulus,I,3,1,-,IF-101
Senin,13.30-15.20,Konsep Kecerdasan Artifisial,B,3,3,NS,IF-101
Senin,13.30-15.20,Konsep Kecerdasan Artifisial,E,3,3,DA,IF-102
Senin,13.30-15.20,Rekayasa Sistem Berbasis Pengetahuan,A,3,5,RS,IF-103
Senin,13.30-15.20,Rekayasa Sistem Berbasis Pengetahuan,B,3,5,AL,IF-104
Senin,13.30-15.20,Konsep Kecerdasan Artifisial,D,3,3,MK,IF-105a&b
Senin,13.30-15.20,Matematika Diskrit,A,3,3,IG,IF-106
Senin,15.30-17.20,Sistem Digital,A,3,1,WS,IF-101
Senin,15.30-17.20,Data Mining,T,3,5,DA,IF-102
Senin,15.30-17.20,Rekayasa Sistem Berbasis Pengetahuan,C,3,5,SC,IF-104
Selasa,07.00-08.50,Basis Data,-,3,1,BN,IF-101
Selasa,07.00-08.50,Teori Graf,D,3,3,VH,IF-102
Selasa,07.00-08.50,Basis Data,RKA (N),3,1,IM,IF-103
Selasa,07.00-08.50,Teori Graf,A,3,3,AW,IF-106
Selasa,07.00-08.50,Dasar Pemrograman,IUP (I),4,1,DP,IF-107a&b
Selasa,10.00-11.50,Sistem Digital,C,3,1,SD,IF-101
Selasa,10.00-11.50,Sistem Digital,B,3,1,RA,IF-102
Selasa,10.00-11.50,Aljabar Linier,RPL (M),3,1,SA,IF-103
Selasa,10.00-11.50,Pemrograman Perangkat Bergerak,P,3,3,US,IF-108
Selasa,13.30-15.20,Sistem Digital,D,3,1,TA,IF-101
Selasa,13.30-15.20,Pemrograman Berorientasi Objek,D,3,3,RL,IF-102
Selasa,13.30-15.20,Matematika Diskrit,RKA (N),3,1,DA,IF-104
Selasa,13.30-15.20,Jaringan Komputer,A,4,3,RA,IF-105a&b
Selasa,15.30-17.20,Sistem Digital,E,3,1,WS,IF-101
Selasa,15.30-17.20,Manajemen Proyek Perangkat Lunak,T,3,5,SL,IF-102
